Mun_analises22_id,Numero_de_Vendas_para_o_Exterior,Valor_total_das_Exportacoes,Valor_medio_das_Exportacoes
Nova Olinda do Norte,3,"$1,440",$480
Nova Palma,3,"$10,683","$3,561"
Nova Palmeira,3,"$81,475","$27,158"
Nova Resende,3,"$319,781","$106,594"
Parecis,3,"$2,432",$811
Pariquera-Açu,3,"$34,712","$11,571"
Pilar,3,"$436,989","$145,663"
Pintadas,3,"$32,665","$10,888"
Pinto Bandeira,3,"$93,323","$31,108"
Pio IX,3,"$16,566","$5,522"
Pirangi,3,"$72,789","$24,263"
Piraúba,3,"$8,674","$2,891"
Porto Amazonas,3,"$178,023","$59,341"
Porto Grande,3,"$212,041","$70,680"
Quissamã,3,"$8,044","$2,681"
Resende Costa,3,"$23,327","$7,776"
Rio Bonito,3,"$19,364","$6,455"
Rio Paranaíba,3,"$213,124","$71,041"
Rio Real,3,"$145,987","$48,662"
Rio Verde de Mato Grosso,3,$853,$284
Rosário do Catete,3,"$11,455","$3,818"
Santa Bárbara do Tugúrio,3,"$96,696","$32,232"
Santa Fé,3,"$510,373","$170,124"
Santa Izabel do Oeste,3,"$1,220,937","$406,979"
Santa Mônica,3,"$98,200","$32,733"
Santa Tereza,3,"$109,910","$36,637"
Santo Antônio dos Lopes,3,"$368,115","$122,705"
São Félix,3,"$28,325","$9,442"
São José da Laje,3,"$5,704,991","$1,901,664"
São Lourenço da Serra,3,"$3,227","$1,076"
São Patrício,3,"$1,445",$482
São Pedro do Butiá,3,"$54,254","$18,085"
São Sebastião da Grama,3,"$92,783","$30,928"
São Sebastião do Passé,3,"$78,565","$26,188"
São Vicente do Sul,3,"$3,745,537","$1,248,512"
Tabocas do Brejo Velho,3,"$61,907","$20,636"
Tabuleiro,3,"$93,000","$31,000"
Três Cachoeiras,3,"$32,735","$10,912"
Tunápolis,3,"$8,075","$2,692"
Vale do Sol,3,"$1,480,050","$493,350"
Águas Lindas de Goiás,3,"$394,083","$131,361"
Águas de Lindóia,3,"$2,546",$849
Águas de São Pedro,3,"$1,118",$373
Almenara,4,"$65,452","$16,363"
Araporã,4,"$721,828","$180,457"
Bombinhas,4,"$353,446","$88,362"
Brasópolis,4,"$112,520","$28,130"
Brejetuba,4,"$376,697","$94,174"
Brochier,4,"$24,874","$6,218"
Buritizal,4,"$24,086,335","$6,021,584"
Camacan,4,"$18,491","$4,623"
Cametá,4,"$72,160","$18,040"
Campo Erê,4,"$108,854","$27,214"
Campos Gerais,4,"$551,847","$137,962"
Carandaí,4,"$93,630","$23,408"
Carmo da Cachoeira,4,"$25,226","$6,306"
Catas Altas da Noruega,4,"$18,480","$4,620"
Catiguá,4,"$16,925","$4,231"
Divisa Alegre,4,"$4,017,341","$1,004,335"
Douradina,4,"$97,347","$24,337"
Eldorado,4,$29,$7
Eugenópolis,4,"$94,293","$23,573"
Faxinal,4,"$17,378","$4,344"
Faxinal do Soturno,4,"$11,135","$2,784"
Goianápolis,4,"$69,845","$17,461"
Itaguari,4,"$11,497","$2,874"
Itaitinga,4,"$29,950,299","$7,487,575"
Itanhém,4,"$1,162",$290
Jaguari,4,"$417,704","$104,426"
Mascote,4,"$1,120",$280
Meleiro,4,"$68,865","$17,216"
Mesquita,4,"$1,334",$334
Nordestina,4,"$18,444,252","$4,611,063"
Nossa Senhora Aparecida,4,"$81,945","$20,486"
Nova Independência,4,"$11,628,609","$2,907,152"
Nova Nazaré,4,"$610,219","$152,555"
Nova Prata do Iguaçu,4,"$218,941","$54,735"
Novorizonte,4,"$177,614","$44,404"
Pains,4,"$178,772","$44,693"
Pentecoste,4,"$202,434","$50,608"
Planaltina do Paraná,4,"$325,400","$81,350"
Pouso Alto,4,"$190,767","$47,692"
Pranchita,4,"$107,962","$26,990"
Resplendor,4,"$2,272",$568
Restinga,4,"$12,809","$3,202"
Ribeirão Bonito,4,"$43,734","$10,934"
Ribeirão do Sul,4,"$1,364,004","$341,001"
Ribeirão dos Índios,4,"$797,475","$199,369"
Ronda Alta,4,"$3,571",$893
Santa Branca,4,"$21,480","$5,370"
Santa Teresa,4,"$56,810","$14,202"
Santa Terezinha,4,"$308,367","$77,092"
Serro,4,"$7,351","$1,838"
Sertão Santana,4,"$2,738,201","$684,550"
Simplício Mendes,4,"$520,128","$130,032"
São Domingos,4,"$389,709","$97,427"
São João do Oeste,4,"$135,194","$33,798"
São Roque do Canaã,4,"$253,955","$63,489"
Terezópolis de Goiás,4,"$22,000","$5,500"
Terra Rica,4,"$1,952",$488
Toritama,4,"$2,836",$709
Tupãssi,4,"$29,924","$7,481"
Nazaré Paulista,260,"$5,522,676","$21,241"
Araucária,2564,"$614,202,204","$239,548"
Carlos Barbosa,6916,"$281,317,773","$40,676"
Abaré,5,"$1,502,863","$300,573"
Abelardo Luz,5,"$1,406,097","$281,219"
Adrianópolis,5,"$68,531","$13,706"
Araguatins,5,"$549,130","$109,826"
Arroio Trinta,5,"$96,442","$19,288"
Balneário Gaivota,5,"$178,654","$35,731"
Botumirim,5,"$708,032","$141,606"
Brotas de Macaúbas,5,"$409,748","$81,950"
Caicó,5,"$27,322","$5,464"
Campos Novos Paulista,5,"$1,610,392","$322,078"
Capitólio,5,"$338,099","$67,620"
Caraguatatuba,5,"$5,862","$1,172"
Castro Alves,5,"$108,321","$21,664"
Cristina,5,"$221,952","$44,390"
Florânia,5,"$141,993","$28,399"
